1000|35|82|22|19|0|66|10|0
1001|63|123|34|25|0|748|136|0
1002|12|50|8|8|0|396|24|0
1003|17|27|9|10|0|240|24|0
1004|25|121|13|10|0|320|24|0
1005|2|91|2|1|0|261|0|0
1006|44|99|25|20|0|600|75|0
1007|16|69|12|10|0|105|9|0
1008|27|116|14|11|0|160|12|0
1009|34|66|24|20|0|675|90|0
100|48|94|30|24|0|374|77|0
1010|6|93|4|3|0|464|0|0
1011|65|118|34|26|0|44|8|0
1012|9|9|5|5|0|113|7|0
1013|56|108|31|25|0|546|91|0
1014|18|55|12|11|0|555|45|0
1015|40|92|26|20|0|330|60|0
1016|10|121|6|4|0|546|14|0
1017|6|69|4|4|0|435|15|0
1018|11|18|6|6|0|343|28|0
1019|62|110|33|25|0|836|152|0
101|45|119|24|18|0|840|120|0
1020|30|104|17|14|0|273|28|0
1021|45|107|25|20|0|530|75|0
1022|4|60|3|3|0|504|0|0
1023|2|73|2|1|0|252|0|0
1024|18|95|11|9|0|217|14|0
1025|25|65|18|15|0|320|32|0
1026|36|69|25|21|0|644|84|0
1027|23|72|16|13|0|722|76|0
1028|6|125|3|2|0|38|0|0
1029|42|123|22|17|0|336|40|0
102|31|124|17|13|0|328|32|0
1030|2|53|2|2|0|189|0|0
1031|6|77|4|4|0|140|0|0
1032|32|65|23|18|0|430|50|0
1033|9|1|5|5|0|32|2|0
1034|18|43|12|12|0|432|60|0
1035|12|14|6|6|0|175|14|0
1036|2|63|2|2|0|81|0|0
1037|23|57|16|15|0|41|4|0
1038|30|88|19|15|0|416|52|0
1039|29|97|16|13|0|456|36|0
103|13|86|8|6|0|120|4|0
1040|18|63|13|10|0|560|48|0
1041|26|54|17|17|0|126|15|0
1042|18|33|10|11|0|273|27|0
1043|32|89|20|16|0|288|45|0
1044|13|27|7|8|0|271|20|0
1045|18|126|10|8|0|195|10|0
1046|14|53|9|9|0|374|22|0
1047|28|49|18|17|0|172|20|0
1048|11|119|6|4|0|78|2|0
1049|26|70|19|15|0|360|36|0
104|2|51|2|1|0|27|0|0
1050|43|98|25|19|0|200|25|0
1051|4|88|2|2|0|116|0|0
1052|11|81|7|6|0|725|25|0
1053|20|62|15|12|0|37|3|0
1054|4|129|3|2|0|105|0|0
1055|16|53|11|10|0|612|51|0
1056|10|96|6|5|0|450|15|0
1057|41|101|23|19|0|120|15|0
1058|34|86|22|17|0|297|45|0
1059|53|116|29|21|0|86|14|0
105|23|43|15|14|0|456|72|0
1060|18|127|10|7|0|663|34|0
1061|4|58|3|2|0|112|0|0
1062|15|78|10|8|0|780|52|0
1063|19|102|11|8|0|148|8|0
1064|58|106|33|26|0|924|154|0
1065|9|35|5|6|0|325|13|0
1066|2|24|2|2|0|16|0|0
1067|46|101|26|21|0|410|60|0
1068|1|78|1|1|0|364|0|0
1069|59|120|31|24|0|44|7|0
106|6|75|4|3|0|420|0|0
1070|53|111|28|21|0|430|70|0
1071|8|99|4|4|0|70|0|0
1072|26|94|16|13|0|96|12|0
1073|35|124|19|14|0|1107|108|0
1074|25|113|13|10|0|320|24|0
1075|20|21|10|10|0|33|4|0
1076|46|98|26|21|0|451|66|0
1077|20|121|11|8|0|1000|50|0
1078|22|109|12|9|0|560|28|0
1079|37|118|20|15|0|451|46|0
107|32|96|20|16|0|576|90|0
1080|11|53|8|7|0|231|14|0
1081|18|83|12|10|0|480|32|0
1082|4|97|3|2|0|455|0|0
1083|32|63|22|18|0|215|25|0
1084|7|110|4|3|0|798|0|0
1085|22|119|12|9|0|760|38|0
1086|6|117|4|3|0|456|0|0
1087|47|123|25|19|0|714|102|0
1088|29|111|16|12|0|656|48|0
1089|29|78|19|16|0|320|40|0
108|11|8|6|6|0|90|5|0
1090|9|9|4|4|0|112|7|0
